Source:|EM-DAT, CRED / UCLouvain, Brussels, Belgium||||||||||||||||||||||||||||||||||||||||||||||||
|www.emdat.be||||||||||||||||||||||||||||||||||||||||||||||||
Version:|2023-02-11||||||||||||||||||||||||||||||||||||||||||||||||
File creation:|Sat, 11 Feb 2023 21:46:18 CET||||||||||||||||||||||||||||||||||||||||||||||||
Table type:|Custom request||||||||||||||||||||||||||||||||||||||||||||||||
# of records:|2361||||||||||||||||||||||||||||||||||||||||||||||||
Dis No|Year|Seq|Glide|Disaster Group|Disaster Subgroup|Disaster Type|Disaster Subtype|Disaster Subsubtype|Event Name|Country|ISO|Region|Continent|Location|Origin|Associated Dis|Associated Dis2|OFDA Response|Appeal|Declaration|'AID Contribution (''000 US$)'|Dis Mag Value|Dis Mag Scale|Latitude|Longitude|Local Time|River Basin|Start Year|Start Month|Start Day|End Year|End Month|End Day|Total Deaths|No Injured|No Affected|No Homeless|Total Affected|'Reconstruction Costs (''000 US$)'|'Reconstruction Costs, Adjusted (''000 US$)'|'Insured Damages (''000 US$)'|'Insured Damages, Adjusted (''000 US$)'|'Total Damages (''000 US$)'|'Total Damages, Adjusted (''000 US$)'|CPI|Adm Level|Admin1 Code|Admin2 Code|Geo Locations
1991-0395-ALB|1991|0395||Technological|Technological|Industrial accident|Fire||Food storage warehouse|Albania|ALB|Southern Europe|Europe|Fushe Arrez|||||||||m3|||||1991|12|7|1991|12|7|60|||||||||||46,5366206057622||||
1991-0299-AUT|1991|0299||Technological|Technological|Transport accident|Road|||Austria|AUT|Western Europe|Europe|Hohentauern||||||||||||||1991|8|8|1991|8|8|13|30|||30|||||||46,5366206057622||||
1991-0397-BEL|1991|0397||Technological|Technological|Industrial accident|Poisoning||Food|Belgium|BEL|Western Europe|Europe|Huy|||||||||m3|||||1991|8|16|1991|8|16|||100||100|||||||46,5366206057622||||
1991-0475-CHE|1991|0475||Technological|Technological|Industrial accident|Chemical spill|||Switzerland|CHE|Western Europe|Europe|Stein (Argovie)|||||||||m3|||||1991|1|4|1991|1|4|||200||200|||||||46,5366206057622||||
1991-0558-CSK|1991|0558||Technological|Technological|Industrial accident|Explosion||Depôt de munitions|Czechoslovakia|CSK|Eastern Europe|Europe|Teplitz (Czech Republic)|||||||||m3|||||1991|1|9|1991|1|9|20|||||||||||46,5366206057622||||
1991-0398-DEU|1991|0398||Technological|Technological|Transport accident|Air||Douglas Dc-3ac|Germany|DEU|Western Europe|Europe|Near Heildelberg||||||||||||||1991|12|22|1991|12|22|28|4|||4|||||||46,5366206057622||||
1991-0005-DEU|1991|0005||Natural|Meteorological|Storm|||Undine|Germany|DEU|Western Europe|Europe||||||No|No|||Kph|||||1991|1|5|1991|1|6||||||||1000|2149|5000|10744|46,5366206057622||||
1991-0089-DNK|1991|0089||Technological|Technological|Miscellaneous accident|Other||Food poisoning|Denmark|DNK|Northern Europe|Europe|||||||||||||||1991|3|27|1991|3|27|||100||100|||||||46,5366206057622||||
1992-0160-ALB|1992|0160||Natural|Hydrological|Flood|Flash flood|||Albania|ALB|Southern Europe|Europe|Kruja, Lac, Lezha, Shkdora, Tropja, Mirdita, Mat, Kukes districts|Brief torrential rain|||Yes|No|No|2204|5620|Km2||||mati, Fani, Drimi|1992|11|17|1992|11|19|11||35000||35000|||||7000|14600|47,9461296367986||||
1992-0093-BEL|1992|0093||Natural|Geophysical|Earthquake|Ground movement|||Belgium|BEL|Western Europe|Europe||||||No|No||6|Richter|51.153 N|5.798 E|||1992|4|13|1992|4|13||||||||||100000|208567|47,9461296367986||||
