Source:|EM-DAT, CRED / UCLouvain, Brussels, Belgium||||||||||||||||||||||||||||||||||||||||||||||||
|www.emdat.be||||||||||||||||||||||||||||||||||||||||||||||||
Version:|2023-02-11||||||||||||||||||||||||||||||||||||||||||||||||
File creation:|Sat, 11 Feb 2023 21:46:18 CET||||||||||||||||||||||||||||||||||||||||||||||||
Table type:|Custom request||||||||||||||||||||||||||||||||||||||||||||||||
# of records:|2361||||||||||||||||||||||||||||||||||||||||||||||||
Dis No|Year|Seq|Glide|Disaster Group|Disaster Subgroup|Disaster Type|Disaster Subtype|Disaster Subsubtype|Event Name|Country|ISO|Region|Continent|Location|Origin|Associated Dis|Associated Dis2|OFDA Response|Appeal|Declaration|'AID Contribution (''000 US$)'|Dis Mag Value|Dis Mag Scale|Latitude|Longitude|Local Time|River Basin|Start Year|Start Month|Start Day|End Year|End Month|End Day|Total Deaths|No Injured|No Affected|No Homeless|Total Affected|'Reconstruction Costs (''000 US$)'|'Reconstruction Costs, Adjusted (''000 US$)'|'Insured Damages (''000 US$)'|'Insured Damages, Adjusted (''000 US$)'|'Total Damages (''000 US$)'|'Total Damages, Adjusted (''000 US$)'|CPI|Adm Level|Admin1 Code|Admin2 Code|Geo Locations
2009-0014-ITA|2009|0014||Natural|Meteorological|Storm|Extra-tropical storm||Klaus|Italy|ITA|Southern Europe|Europe|Salerno district (Campania province), Cosenza district (Calabria province)||Slide (land, mud, snow, rock)|||||||Kph|||||2009|1|24|2009|1|25|3|||||||||||73,3071767219387|2||18324;18333|Cosenza, Salerno (Adm2). 
2009-0228-ROU|2009|0228|FL-2009-000121|Natural|Hydrological|Flood|Riverine flood|||Romania|ROU|Eastern Europe|Europe|Bucuresti, Dolj, Giurgiu, Olt, Teleorman provinces||Lightening|||||||Km2|||||2009|6|25|2009|6|25||4|||4|||||||73,3071767219387|1|2455;2463;2465;2475;2481||Bucuresti, Dolj, Giurgiu, Olt, Teleorman (Adm1). 
2009-0226-ITA|2009|0226||Technological|Technological|Transport accident|Rail|||Italy|ITA|Southern Europe|Europe|Viareggio (Toscana)|||||No|No||||||||2009|6|29|2009|6|29|29|17||100|117|||||||73,3071767219387||||
2009-0228-POL|2009|0228|FL-2009-000121|Natural|Hydrological|Flood|Riverine flood|||Poland|POL|Eastern Europe|Europe|Kracow, Kracow I, Kracow II districts (Malopolske province) ; Dolnoslaskie, Opolskie, Slaskie provinces|Heavy rains||||||||Km2|||||2009|6|22|2009|6|26|1||150||150|||||100000|136412|73,3071767219387|1;2|2370;2377;2381|24400;24401;24402|Dolnoslaskie, Opolskie, Slaskie (Adm1). Krakow, Krakow I, Krakow II (Adm2). 
2009-0142-POL|2009|0142||Technological|Technological|Miscellaneous accident|Fire||House for homeless|Poland|POL|Eastern Europe|Europe|Kamien Pomorski|||||No|No||||||||2009|4|12|2009|4|13|22|20|||20|||||||73,3071767219387||||
2009-0015-ROU|2009|0015||Natural|Hydrological|Flood|Riverine flood|||Romania|ROU|Eastern Europe|Europe|Alba, Arad, Arges, Bacau, Bihor, Bistrita-nasaud, Botosani, Braila, Brasov, Bucuresti, Buzau, Calarasi, Caras-severin, Cluj, Constanta, Covasna, Dimbovita, Dolj, Galati, Giurgiu, Gorj, Harghita, Hunedoara, Ialomita, Iasi, Maramures, Mehedinti, Mures, Neamt, Olt, Prahova, Salaj, Satu Mare, Sibiu, Suceava, Teleorman, Timis, Tulcea, Vaslui, Vilcea, Vrancea provinces|Snowmelt|||||||19410|Km2|47.61|24.93||Iza river|2009|1|23|2009|1|26|11|||||||||||73,3071767219387|1|2446;2447;2448;2449;2450;2451;2452;2453;2454;2455;2456;2457;2458;2459;2460;2461;2462;2463;2464;2465;2466;2467;2468;2469;2470;2471;2472;2473;2474;2475;2476;2477;2478;2479;2480;2481;2482;2483;2484;2485;2486||Alba, Arad, Arges, Bacau, Bihor, Bistrita-nasaud, Botosani, Braila, Brasov, Bucuresti, Buzau, Calarasi, Caras-severin, Cluj, Constanta, Covasna, Dimbovita, Dolj, Galati, Giurgiu, Gorj, Harghita, Hunedoara, Ialomita, Iasi, Maramures, Mehedinti, Mures, Neamt, Olt, Prahova, Salaj, Satu Mare, Sibiu, Suceava, Teleorman, Timis, Tulcea, Vaslui, Vilcea, Vrancea (Adm1). 
2009-0120-RUS|2009|0120||Technological|Technological|Transport accident|Road|||Russian Federation (the)|RUS|Eastern Europe|Europe|Centre|||||No|No||||||||2009|3|25|2009|3|25|25|4|||4|||||||73,3071767219387||||
2009-0061-RUS|2009|0061||Technological|Technological|Miscellaneous accident|Fire||Nursing Home|Russian Federation (the)|RUS|Eastern Europe|Europe|Podjelsk (Komi republic)|||||No|No||||||||2009|1|31|2009|1|31|23|3|||3|||||||73,3071767219387||||
2009-0074-RUS|2009|0074||Technological|Technological|Miscellaneous accident|Fire||Building|Russian Federation (the)|RUS|Eastern Europe|Europe|Molodezhny (Astrakhan)||||||||||||||2009|2|14|2009|2|14|15|||||||||||73,3071767219387||||
2009-0075-SPI|2009|0075||Technological|Technological|Transport accident|Water|||Canary Is|SPI|Southern Europe|Europe|Near Lanzarote Island (Las Palmas)||||||||||||||2009|2|15|2009|2|15|22||6||6|||||||73,3071767219387|2||25789|Las Palmas (Adm2). 
2009-0079-SVK|2009|0079||Technological|Technological|Transport accident|Road|||Slovakia|SVK|Eastern Europe|Europe|Near Polomka Bucnik|||||No|No||||||||2009|2|21|2009|2|21|12|20|||20|||||||73,3071767219387||||
2009-0215-UKR|2009|0215||Technological|Technological|Industrial accident|Gas leak||Coal mine|Ukraine|UKR|Eastern Europe|Europe|Donetsk|||||No|No|||m3|||||2009|6|8|2009|6|8|13||38||38|||||||73,3071767219387||||
2007-0562-MNE|2007|0562||Natural|Hydrological|Flood|Flash flood|||Montenegro|MNE|Southern Europe|Europe|Berane, Andrijvica, Rozaj, Mojkovacx, Podgorica, Kolasin provinces|Heavy rain and melting snow|Broken Dam/Burst bank||||Yes|||Km2|42.46|20.8||Tara|2007|11|26|2007|11|29|||1086||1086|||||||70,848792703253|1|25350;25352;25358;25360;25365;25366||Andrijevica, Berane, Kolasin, Mojkovac, Podgorica, Rozaj (Adm1). 
2007-0235-SRB|2007|0235|HT-2007-000106|Natural|Meteorological|Extreme temperature |Heat wave|||Serbia|SRB|Southern Europe|Europe|Borski, Branicevski, Grad Beograd, Jablanicki, Juzno-backi, Juzno-banatski, Kolubarski, Kosovski, Kosovsko-mitrovatski, Kosovsko-pomoravski, Macvanski, Moravicki, Nisavski, Pcinjski, Pecki, Pirotski, Podunavski, Pomoravski, Prizremski, Rasinski, Raski, Severno-backi, Severno-banatski, Srednje-banatski, Sremski, Sumadijski, Toplicki, Zajecarski, Zapadno-backi, Zlatiborski provinces||Wildfire||||||45|°C|||||2007|7|16|2007|7|24||||||||||||70,848792703253|1|25371;25372;25373;25374;25375;25376;25377;25378;25379;25380;25381;25382;25383;25384;25385;25386;25387;25388;25389;25390;25391;25392;25393;25394;25395;25396;25397;25398;25399;25400||Borski, Branicevski, Grad Beograd, Jablanicki, Juzno-backi, Juzno-banatski, Kolubarski, Kosovski, Kosovsko-mitrovatski, Kosovsko-pomoravski, Macvanski, Moravicki, Nisavski, Pcinjski, Pecki, Pirotski, Podunavski, Pomoravski, Prizremski, Rasinski, Raski, Severno-backi, Severno-banatski, Srednje-banatski, Sremski, Sumadijski, Toplicki, Zajecarski, Zapadno-backi, Zlatiborski (Adm1). 
2007-0562-SRB|2007|0562||Natural|Hydrological|Flood|Flash flood|||Serbia|SRB|Southern Europe|Europe|Dimitrovgrad, Babusnica, Pirot, Bela Palanka municipalities (Pirotski province), Lebane, Leskovac, Vlacotince municipalities (Jablanicki province), Doljevac municipality (Nisavski province)|Heavy rain and melting snow||||||||Km2|42.76|20.8||Luznica, Vlasina, Jablanica, Rogoz, Nisava, JUzna Morava, Crvena Reka, Pusta Reka|2007|11|25|2007|11|29|||12370||12370|||||||70,848792703253|1|25374;25383;25386||Jablanicki, Nisavski, Pirotski (Adm1). 
2009-0271-ESP|2009|0271||Natural|Climatological|Wildfire|Forest fire|||Spain|ESP|Southern Europe|Europe|Teruel district (Aragon province), Almeria district (Andalucia province), Horta de Sant Joan commune (Tarragona district, Cataluna/Catalunya province), Trevino area (Burgos district, Castilla y Leon province), Cuenca district (Castilla-La Mancha province)||Heat wave|Storm|||||170|Km2|||||2009|7|20|2009|7|24|6|||||||||||73,3071767219387|2||25776;25785;25793;25803;25809|AlmerÍa, Burgos, Cuenca, Tarragona, Teruel (Adm2). 
2009-0273-AUT|2009|0273||Natural|Meteorological|Storm|Convective storm|Lightning/Thunderstorms||Austria|AUT|Western Europe|Europe|Kufstein district (Tirol province), Braunau am Inn, Voecklabruck, Wels districts (Oberosterreich province), Tulln district (Niederosterreich province), Wien district (Wien province)||Hail|Flood||||||Kph|||||2009|7|23|2009|7|24||||||||||500000|682061|73,3071767219387|2||5610;5618;5633;5634;5663;5672|Braunau am Inn, Kufstein, Tulln, Vocklabruck, Wels, Wien (Adm2). 
2009-0428-ITA|2009|0428|FL-2009-000216|Natural|Hydrological|Flood|Riverine flood|||Italy|ITA|Southern Europe|Europe|Giampilieri, Taormina, Scaletta Zanclea, Molino towns (Messina district, Sicilia town)|Heavy rains|Slide (land, mud, snow, rock)||||Yes||1227|Km2|38.11|15.73|||2009|10|1|2009|10|6|35|140||5000|5140|||||20000|27282|73,3071767219387|2||18394|Messina (Adm2). 
2009-0273-CHE|2009|0273||Natural|Meteorological|Storm|Convective storm|Lightning/Thunderstorms||Switzerland|CHE|Western Europe|Europe|Bern, Vaud, Fribourg, Luzern, Nidwalden provinces||Hail|||||||Kph|||||2009|7|23|2009|7|24||||||||||1000000|1364123|73,3071767219387|1|2812;2813;2818;2820;2830||Bern, Fribourg, Luzern, Nidwalden, Vaud (Adm1). 
2009-0506-GBR|2009|0506||Natural|Meteorological|Storm|Convective storm|Severe storm||United Kingdom of Great Britain and Northern Ireland (the)|GBR|Northern Europe|Europe|Dorsetshire, Hampshire, Isle of Wight, Kent districts (England province)||Flood||||||160|Kph|||||2009|11|13|2009|12|4|2||180||180|||||||73,3071767219387|2||40105;40112;40116;40117|Dorsetshire, Hampshire, Isle of Wight, Kent (Adm2). 
2009-0030-SRB|2009|0030|CW-2009-000024|Natural|Meteorological|Extreme temperature |Severe winter conditions|Snow/Ice||Serbia|SRB|Southern Europe|Europe|Belgrade city (Grad Beograd province), Novi Sad city (Juzno-backi province)|||||||||°C|||||2009|1|15|2009|1|15||500|||500|||||||73,3071767219387|1|25373;25375||Grad Beograd, Juzno-backi (Adm1). 
2009-0366-ALB|2009|0366||Natural|Geophysical|Earthquake|Ground movement|||Albania|ALB|Southern Europe|Europe|Peshkopi district||||||||6|Richter|41.483|20.388|||2009|9|7|2009|9|7||||150|150|||||||73,3071767219387|2||3813|Peshkopi (Adm2). 
2009-0631-ALB|2009|0631|FL-2009-000266|Natural|Hydrological|Flood|Riverine flood|||Albania|ALB|Southern Europe|Europe|Qender district (Malesi E Madhe province), Rrethinat, Shkoder, Ana E Malit, Dajc, Bushat, Velipoje, Berdice, Guri I Zi, Hajmel, Vau Dejes, Vig Mnelle districts (Shkoder province), Shengjin district (Lezhe province)|Heavy rains, melting snow|||Yes||Yes|326||Km2||||Drini river|2009|12|27|2010|1|8|||6600||6600|||||||73,3071767219387|2||3963;3998;4071;4073;4074;4075;4076;4077;4080;4082;4086;4087;4088|Ana E Malit, Berdice, Bushat, Dajc, Guri I Zi, Hajmel, Qender, Rrethinat, Shengjin, Shkoder, Vau Dejes, Velipoje, Vig Mnelle (Adm2). 
2009-0279-AUT|2009|0279||Natural|Hydrological|Flood|Riverine flood|||Austria|AUT|Western Europe|Europe|Graz district (Steiermark province)|Heavy rains|||||Yes||2765|Km2|47.4|15.71|||2009|7|16|2009|7|19||||||||||||73,3071767219387|2||5647|Graz (Adm2). 
2009-0571-AUT|2009|0571||Natural|Meteorological|Extreme temperature |Cold wave|||Austria|AUT|Western Europe|Europe|Steiermark province|||||||||°C|||||2009|12|18|2009|12|19|2|||||||||||73,3071767219387|1|483||Steiermark (Adm1). 
2009-0268-BIH|2009|0268|FL-2009-000136-BIH|Natural|Hydrological|Flood|Riverine flood|||Bosnia and Herzegovina|BIH|Southern Europe|Europe|Kardaglije, Jablanica, Dobro poljie, Mekisn Bukva, Medakovo, Trepca, Novo Selo, Tesanjka, Tesanj villages (Tesanj municipality, Zenicko-dobojski district, Federacija Bosne I Hercegovine province)|Heavy rain|||||Yes||6061|Km2|44.87|17.48||Tesanjka, Trebacka|2009|7|7|2009|7|15|||1100||1100|||||||73,3071767219387|2||6250|Zenicko-dobojski (Adm2). 
2009-0273-CZE|2009|0273||Natural|Meteorological|Storm|Convective storm|Lightning/Thunderstorms||Czech Republic (the)|CZE|Eastern Europe|Europe|Hradek nad Nisou city (Liberec district, Severocesky province)|||||||||Kph|||||2009|7|23|2009|7|24|2|12|||12|||||||73,3071767219387|2||14840|Liberec (Adm2). 
2009-0273-DEU|2009|0273||Natural|Meteorological|Storm|Convective storm|Lightning/Thunderstorms||Germany|DEU|Western Europe|Europe|Baden-Wuerttemberg, Bayern, Berlin, Brandenburg, Mecklenburg-Vorpommern, Sachsen-Anhalt, Thueringen provinces|||||||||Kph|||||2009|7|23|2009|7|24|1|||||||||50000|68206|73,3071767219387|1|1308;1309;1310;1311;1315;1321;1323||Baden-Wuerttemberg, Bayern, Berlin, Brandenburg, Mecklenburg-Vorpommern, Sachsen-Anhalt, Thueringen (Adm1). 
2009-0571-DEU|2009|0571||Natural|Meteorological|Extreme temperature |Cold wave|||Germany|DEU|Western Europe|Europe|Bayern, Berlin, Hamburg provinces, Leipzig district (Sachsen province), Hanover city (no Admin 2, Niedersachsen province), Gruenow city (no admin 2, Brandenburg province)||||||||-34|°C|||||2009|12|18|2010|1|25|14|||||||||||73,3071767219387|1;2|1309;1310;1311;1313;1316|16561|Bayern, Berlin, Brandenburg, Hamburg, Niedersachsen (Adm1). Leipzig (Adm2). 
2009-0571-FRA|2009|0571||Natural|Meteorological|Extreme temperature |Cold wave|||France|FRA|Western Europe|Europe|'Alsace, Aquitaine, Auvergne, Basse-Normandie, Bourgogne, Bretagne, Centre, Champagne-Ardenne, Corse, Franche-Comte, Haute-Normandie, Ile-de-France, Languedoc-Rousillon, Limousin, Lorraine, Midi-Pyrenees, Nord-Pas-de-Calais, Pays-de-la-Loire, Picardie, Poitou-Charentes, Provence-Alpes-Cote-d''Azur, Rhone-Alpes provinces'||||||||-24|°C|||||2009|12|18|2009|12|19|2|||||||||||73,3071767219387|1|1248;1249;1250;1251;1252;1253;1254;1255;1256;1257;1258;1259;1260;1262;1263;1264;1265;1266;1267;1268;1269;1270||'Alsace, Aquitaine, Auvergne, Basse-Normandie, Bourgogne, Bretagne, Centre, Champagne-Ardenne, Corse, Franche-Comte, Haute-Normandie, Ile-de-France, Languedoc-Rousillon, Limousin, Lorraine, Midi-Pyrenees, Nord-Pas-de-Calais, Pays-de-la-Loire, Picardie, Poitou-Charentes, Provence-Alpes-Cote-d''Azur, Rhone-Alpes (Adm1). '
2009-0271-FRA|2009|0271||Natural|Climatological|Wildfire|Forest fire|||France|FRA|Western Europe|Europe|'Corse province, Marseille city (Bouches-du-Rhone district, Provence-Alpes-Cote-d''Azur province)'|||||||||Km2|||||2009|7||2009|7|||||||||||||73,3071767219387|1;2|1256|16322|Corse (Adm1). Bouches-du-Rhone (Adm2). 
2009-0497-GBR|2009|0497||Natural|Hydrological|Flood|Riverine flood|||United Kingdom of Great Britain and Northern Ireland (the)|GBR|Northern Europe|Europe|Cockermouth, Keswick, Workington, Burneside, Kendal (Cumbria district, England province)|Heavy rains|||||||106600|Km2|54|-1.66|||2009|11|19|2009|11|22|3||3900||3900|||333000|454253|484000|660235|73,3071767219387|2||40102|Cumbria (Adm2). 
2009-0571-GBR|2009|0571||Natural|Meteorological|Extreme temperature |Cold wave|||United Kingdom of Great Britain and Northern Ireland (the)|GBR|Northern Europe|Europe|Penzance area (Cornwall district, England province), Cumbria, Greater London, Greater Manchest, Kent districts (England province), Strathclyde, Lothian, Grampian districts (Scotland province)|||||||||°C|||||2009|12|19|2009|12|23|3|47|||47|||||||73,3071767219387|2||40101;40102;40110;40111;40117;40171;40173;40176|Cornwall, Cumbria, Grampian, Greater London, Greater Manchest, Kent, Lothian, Strathclyde (Adm2). 
2009-0271-GRC|2009|0271||Natural|Climatological|Wildfire|Forest fire|||Greece|GRC|Southern Europe|Europe|Zakynthou district (Ionioi Nisoi province), Peloponnisos province, Evvoias district (Sterea Ellada province)|||||||||Km2|||||2009|7||2009|7|||||||||||||73,3071767219387|1;2|1345|16691;16716|Peloponnisos (Adm1). Evvoias, Zakynthou (Adm2). 
2009-0345-GRC|2009|0345||Natural|Climatological|Wildfire|Forest fire|||Greece|GRC|Southern Europe|Europe|Marathonas area (Attikis district, Attiki province)|||||||||Km2|||||2009|8|21|2009|8|25|||715|325|1040|||||||73,3071767219387|2||16680|Attikis (Adm2). 
2009-0629-GRC|2009|0629||Technological|Technological|Transport accident|Water|||Greece|GRC|Southern Europe|Europe|Near Alexandroupolis|||||No|No||||||||2009|12|31|2009|12|31|12|||||||||||73,3071767219387||||
2009-0497-IRL|2009|0497||Natural|Hydrological|Flood|Riverine flood|||Ireland|IRL|Northern Europe|Europe|Cork, Galway, Tipperary, Kilkenny, Carlow, Kerry, Leitrim, Clare, Sligo, Waterford provinces|Heavy rains||||||||Km2|||||2009|11|18|2009|11|20||||||||||||73,3071767219387|1|1582;1584;1585;1588;1589;1591;1593;1603;1604;1605||Carlow, Clare, Cork, Galway, Kerry, Kilkenny, Leitrim, Sligo, Tipperary, Waterford (Adm1). 
2009-0571-ITA|2009|0571||Natural|Meteorological|Extreme temperature |Cold wave|||Italy|ITA|Southern Europe|Europe|Veneto province, Milano district (Lombardia province), Friuli-venezia Giulia province||||||||-16|°C|||||2009|12|21|2009|12|21||||||||||||73,3071767219387|1;2|1621;1635|18363|Friuli-venezia Giulia, Veneto (Adm1). Milano (Adm2). 
2009-0271-ITA|2009|0271||Natural|Climatological|Wildfire|Forest fire|||Italy|ITA|Southern Europe|Europe|Sardegna, Sicilia provinces|||||||||Km2|||||2009|7|20|2009|7|27|2|||||||||115000|156874|73,3071767219387|1|1629;1630||Sardegna, Sicilia (Adm1). 
2010-0692-ITA|2010|0692||Natural|Meteorological|Storm|Convective storm|||Italy|ITA|Southern Europe|Europe|'Veneto, Toscana, Liguria, Valle D''aosta, Lombardia, Friuli-venezia Giulia, Sicilia provinces'||Flood|Slide (land, mud, snow, rock)||||||Kph|||||2010|10|31|2010|11|2|3|5|||5|||||872000|1170321|74,5094440781961|1|1621;1623;1624;1630;1631;1634;1635||'Friuli-venezia Giulia, Liguria, Lombardia, Sicilia, Toscana, Valle D''aosta, Veneto (Adm1). '
2010-0601-BEL|2010|0601||Natural|Hydrological|Flood|Riverine flood|||Belgium|BEL|Western Europe|Europe|Region de Bruxelles-Capitale, Vlaams Gewest, Region wallonne provinces|Heavy rains|Slide (land, mud, snow, rock)||||Yes||8458|Km2|50.85|4.35|||2010|11|11|2010|11|15|3||690||690|||||238146|319619|74,5094440781961|1|600;601;602||Region de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewes, Region wallonne, Vlaams Gewest (Adm1). 
2010-0619-BIH|2010|0619|FL-2010-000248|Natural|Hydrological|Flood|Riverine flood|||Bosnia and Herzegovina|BIH|Southern Europe|Europe|Tomislavgrad, Drvar municipalities (Zapadnobosanski district), Sarajevo, Tmovo, Ilidza municipalities (Sarajevo district), Foca-Ustikolina, Pale-Praca municipalities (Gornjedrinski district), Domaljevac-Samac municipality (Posavski district), Ravno, Caplijnski, Citluk , Caplijna, Stolac, Mostar municipalities (Neretvljanski) (Federacija Bosne I Hercegovine province), Novi Grad municipality (Bosanski Novi district, Republika Srpska province) ; Bijelijna, Visegrad, Zvornik, Tuzla, Gorazde, Trebinje, Bileca, Nevesinje, Foca, Orasje, Maglaj, Bosanaska Krupa, Bratunac districts (Republika Srpska province)||Slide (land, mud, snow, rock)||Yes||Yes|||Km2||||Drina|2010|12|3|2010|12|5|3||20000||20000|||||||74,5094440781961|2||6241;6242;6243;6244;6248;6252;6253;6256;6258;6261;6268;6271;6289;6293;6297;6315;6317;6319;6321|Bijeljina, Bileca, Bosanska Krupa, Bosanski Novi, Bratunac, Foca, Gorazde, Gornjedrinski, Maglaj, Neretvljanski, Nevesinje, Orasje, Posavski, Sarajevo, Trebinje, Tuzla, Visegrad, Zapadnobosanski, Zvornik (Adm2). 
2010-0193-CZE|2010|0193||Natural|Hydrological|Flood|Riverine flood|||Czech Republic (the)|CZE|Eastern Europe|Europe|Opava, Bruntal, Novy Jicin, Frydek-Mistek, Ostrava-mesto, Karvina districts (Moravia-Silesia region, Severomravsky province)|Heavy rains|Slide (land, mud, snow, rock)||||Yes|||Km2||||Becva river|2010|5|15|2010|5|26|1||1200||1200|||||190000|255001|74,5094440781961|2||14846;14847;14849;14850;14852;14853|Bruntal, Frydek-Mistek, Karvina, Novy Jicin, Opava, Ostrava-mesto (Adm2). 
2010-0233-FRA|2010|0233||Natural|Hydrological|Flood|Flash flood|||France|FRA|Western Europe|Europe|'Draguignan, Les Arcs, Figanières, Roquebrune sur Argens, Luo, Muy, Trans cities (Var distric, Provence-Alpes-Cote-d''Azur province)'|Torrential rain|Slide (land, mud, snow, rock)||||||7700|Km2|43.5|6.6|||2010|6|15|2010|6|16|25|||||||1070000|1436060|1500000|2013168|74,5094440781961|2||16324|Var (Adm2). 
2010-0647-ESP|2010|0647||Natural|Hydrological|Flood|Riverine flood|||Spain|ESP|Southern Europe|Europe|Ecija city (Sevilla district, Andalucía province)||Rain||||||22049|Km2|37.811|-5.87||Guadalquivir|2010|12|6|2010|12|10|2||30||30|||||||74,5094440781961|2||25783|Sevilla (Adm2). 
2010-0380-CZE|2010|0380||Natural|Hydrological|Flood|Flash flood|||Czech Republic (the)|CZE|Eastern Europe|Europe|Liberec district (Severocesky province)||Flood|||||||Km2|||||2010|8|7|2010|8|8|7||200||200|||||157560|211463|74,5094440781961|2||14840|Liberec (Adm2). 
2010-0380-DEU|2010|0380||Natural|Hydrological|Flood|Flash flood|||Germany|DEU|Western Europe|Europe|Chemnitz district (Sachsen province), Neurkirchen city (Saarland province)||Flood|||||||Km2|||||2010|8|7|2010|8|7|3|||||||||||74,5094440781961|1;2|1319|16559|Saarland (Adm1). Chemnitz (Adm2). 
2010-0088-FRA|2010|0088||Natural|Meteorological|Storm|Extra-tropical storm||Xynthia|France|FRA|Western Europe|Europe|Charente-Maritime, Vienne, Deux-Sèvres districts (Poitou-Charentes province), Vendée district (Pays-de-la-Loire province)||Flood||||Yes||140|Kph|||||2010|2|28|2010|3|2|53|79|500000||500079|||2100000|2818435|4230000|5677133|74,5094440781961|2||16312;16317;16318;16319|Charente-Maritime, Deux-Sevres, Vendee, Vienne (Adm2). 
2010-0170-ISL|2010|0170||Natural|Geophysical|Volcanic activity|Ash fall||Eyjafjallajokull|Iceland|ISL|Northern Europe|Europe| Fljotshlid, Eyjafjöll, and Landeyjar villages (Rangarvalla province)||Flood||||||||63.62959|-19.64|||2010|3||2010|4|||||||||||||74,5094440781961|1|1474||Rang??rvalla (Adm1). 
2010-0619-ALB|2010|0619|FL-2010-000248|Natural|Hydrological|Flood|Riverine flood|||Albania|ALB|Southern Europe|Europe|Lezhe, Kurbin, Mirdite provinces (Lezha prefecture), Shkoder, Malesi E Madhe, Puke provinces (Shkoder prefecture), Livadhe city||||Yes||Yes|||Km2||||Drini, Buna, Kiri, Prroi Thate rivers, Shkodra lake|2010|12|3|2010|12|3|||14000||14000|||||||74,5094440781961|1|322;323;326;329;333;335||Kurbin, Lezhe, Malesi E Madhe, Mirdite, Puke, Shkoder (Adm1). 
2010-0309-ALB|2010|0309||Technological|Technological|Transport accident|Road|||Albania|ALB|Southern Europe|Europe|Fushe-Arrez (near Gjegjan)|||||No|No||||||||2010|7|17|2010|7|17|14|12|||12|||||||74,5094440781961||||
2010-0652-BEL|2010|0652||Natural|Meteorological|Storm|Convective storm|Winter storm/Blizzard||Belgium|BEL|Western Europe|Europe|Region de Bruxelles-Capitale, Vlaams Gewest, Region wallonne provinces|||||||||Kph|||||2010|12|23|2010|12|24||||||||||||74,5094440781961|1|600;601;602||Region de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewes, Region wallonne, Vlaams Gewest (Adm1). 
2010-0088-BEL|2010|0088||Natural|Meteorological|Storm|Extra-tropical storm||Xynthia|Belgium|BEL|Western Europe|Europe|Jodoigne city (Brabant wallon district, Region wallonne province) ; Region de Bruxelles-Capitale, Vlaams Gewest, Region walonne provinces|||||||||Kph|||||2010|2|28|2010|2|28|1|||||||80000|107369|160000|214738|74,5094440781961|1|600;601;602||Region de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewes, Region wallonne, Vlaams Gewest (Adm1). 
2010-0062-BEL|2010|0062||Technological|Technological|Transport accident|Rail|||Belgium|BEL|Western Europe|Europe|Buizingen (Near Hal)|||||No|No||||||||2010|2|15|2010|2|15|18|171|||171|||||||74,5094440781961||||
2010-0039-BEL|2010|0039||Technological|Technological|Miscellaneous accident|Explosion||House/building|Belgium|BEL|Western Europe|Europe|Liege|||||No|No||||||||2010|1|27|2010|1|27|14|21|||21|||||||74,5094440781961||||
2010-0619-BGR|2010|0619|FL-2010-000248|Natural|Hydrological|Flood|Riverine flood|||Bulgaria|BGR|Eastern Europe|Europe|Blagoevgrad district (Blagoevgrad province), Pernik district (Pernik province), Dupnitsca district (Kustendil province), Kostinbrod district (Sofia province)|||||||||Km2||||Strouma|2010|12|4|2010|12|5|||90||90|||||||74,5094440781961|2||11851;11913;11952;12043|Blagoevgrad, Dupnitca, Kostibrod, Pernik (Adm2). 
2010-0050-BGR|2010|0050||Natural|Meteorological|Extreme temperature |Cold wave|||Bulgaria|BGR|Eastern Europe|Europe|Sofia, Sofia-city, Shumen provinces, Valtchi Dol district (Varna province), Glavinitca district (Silistra province), Tran district (Pernik province), Knezha district (Vratca province), Sevlievo district (Gabrovo province)||||||||-38|°C|||||2010|1||2010|1||3|||||||||||74,5094440781961|1;2|718;722;723|11886;11954;12009;12076;12103|Shumen, Sofia, Sofia-city (Adm1). Glavinitca, Knezha, Sevlievo, Tran, Valchi Dol (Adm2). 
2010-0252-BIH|2010|0252|FL-2010-000128|Natural|Hydrological|Flood|Riverine flood|||Bosnia and Herzegovina|BIH|Southern Europe|Europe|Gradacac, Doboj Istok, Gracacina, Srebrenik, Celic, Tuzla, Kalesija, Lukavac, Zivicine, Kladanj municipalities (Tuzlansko-podrinjski district), Tesanj, Doboj Jug municipalities (Zenicko-dobojski district) (Federacija Bosne I Hercegovine province), Kozarska Dubica municipality (Bosanska Dubica district), Rahic, Satorovici, Bijela, Bukvik, Brka village (Brcko district), Celinac municipality (Celinac district), Derventa municipality (Derventa district), Kotor Varos municipality (Kotor Varos district), Prijedor municipality (Prijedor district), Prnjavor municipality (Prnjavor district), Doboj municipality (Doboj district), Modrica municipality (Modrica district), Teslic municipality (Teslic district) (Republika Srpska province)|Torrential rains|||Yes||Yes|80||Km2|||||2010|6|20|2010|6|22|||14910||14910|||||87000|116764|74,5094440781961|2||6246;6250;6254;6262;6264;6265;6266;6283;6290;6299;6300;6312|Bosanska Dubica, Brcko, Celinac, Derventa, Doboj, Kotor Varos, Modrica, Prijedor, Prnjavor, Teslic, Tuzlansko-podrinjski, Zenicko-dobojski (Adm2). 
