Source:|EM-DAT, CRED / UCLouvain, Brussels, Belgium||||||||||||||||||||||||||||||||||||||||||||||||
|www.emdat.be||||||||||||||||||||||||||||||||||||||||||||||||
Version:|2023-02-11||||||||||||||||||||||||||||||||||||||||||||||||
File creation:|Sat, 11 Feb 2023 21:46:46 CET||||||||||||||||||||||||||||||||||||||||||||||||
Table type:|Custom request||||||||||||||||||||||||||||||||||||||||||||||||
# of records:|522||||||||||||||||||||||||||||||||||||||||||||||||
Dis No|Year|Seq|Glide|Disaster Group|Disaster Subgroup|Disaster Type|Disaster Subtype|Disaster Subsubtype|Event Name|Country|ISO|Region|Continent|Location|Origin|Associated Dis|Associated Dis2|OFDA Response|Appeal|Declaration|'AID Contribution (''000 US$)'|Dis Mag Value|Dis Mag Scale|Latitude|Longitude|Local Time|River Basin|Start Year|Start Month|Start Day|End Year|End Month|End Day|Total Deaths|No Injured|No Affected|No Homeless|Total Affected|'Reconstruction Costs (''000 US$)'|'Reconstruction Costs, Adjusted (''000 US$)'|'Insured Damages (''000 US$)'|'Insured Damages, Adjusted (''000 US$)'|'Total Damages (''000 US$)'|'Total Damages, Adjusted (''000 US$)'|CPI|Adm Level|Admin1 Code|Admin2 Code|Geo Locations
2002-0765-AUS|2002|0765||Natural|Climatological|Wildfire|Land fire (Brush, Bush, Pasture)|||Australia|AUS|Australia and New Zealand|Oceania|Sydney (Ashfield (A), Auburn (C), Bankstown (C), Botany Bay (C), Burwood (A), Canada Bay (A), Canterbury (C), Holroyd (C), Hunters Hill (A), Hurstville (C), Kogarah (C), Ku-ring-gai (A), Lane Cove (A), Leichhardt (A), Manly (A), Marrickville (A), Mosman (A), North Sydney (A), Parramatta (C), Pittwater (A), Randwick (C), Rockdale (C), Ryde (C), Strathfield (A), Sutherland Shire (A), Sydney (C), Warringah (A), Waverley (A), Willoughby (C), Woollahra (A) districts, New South Wales province)|||||||||Km2|||||2002|10|8|2002|12|6|2|4||240|244|||||50000|81350|61,4631882611914|2||4944;4945;4948;4963;4967;4972;5020;5023;5024;5030;5031;5035;5044;5045;5048;5060;5066;5069;5073;5075;5076;5085;5086;5104;5105;5109;5114;143252;154629;154637|Ashfield (A), Auburn (C), Bankstown (C), Botany Bay (C), Burwood (A), Canada Bay (A), Canterbury (C), Holroyd (C), Hunters Hill (A), Hurstville (C), Kogarah (C), Ku-ring-gai (A), Lane Cove (A), Leichhardt (A), Manly (A), Marrickville (A), Mosman (A), North Sydney (A), Parramatta (C), Pittwater (A), Randwick (C), Rockdale (C), Ryde (C), Strathfield (A), Sutherland Shire (A), Sydney (C), Warringah (A), Waverley (A), Willoughby (C), Woollahra (A) (Adm2). 
2002-0858-AUS|2002|0858||Natural|Biological|Epidemic|Viral disease||Acute respiratory syndrome (SARS)|Australia|AUS|Australia and New Zealand|Oceania||||||No|No|||Vaccinated|||||2003|2|26|2003|4|1|||6||6|||||||61,4631882611914||||
2002-0798-AUS|2002|0798||Natural|Meteorological|Storm||||Australia|AUS|Australia and New Zealand|Oceania|Port Stephens, Greater Taree districts (New South Wales province)|||||||||Kph|||||2002|12|5|2002|12|5|||120|9|129|||||||61,4631882611914|2||5009;5070|Greater Taree (C), Port Stephens (A) (Adm2). 
2003-0109-AUS|2003|0109||Natural|Hydrological|Flood|Flash flood|||Australia|AUS|Australia and New Zealand|Oceania|Clarence Valley, Coffs Harbour, Kempsey, Gwydir, Tamworth Regional, Narrabri, Uralla, Moree Plains districts (New South Wales province)|Heavy rains|||||||57420|Km2||||Mudgee, Talworth, Northern rivers|2003|2|21|2003|2|24|||100||100|||||||62,8584595000413|2||5028;5047;5056;154617;154620;154628;154631;154638|Clarence Valley (A), Coffs Harbour (C), Gwydir (A), Kempsey (A), Liverpool Plains (A), Moree Plains (A), Narrabri (A), Tamworth Regional (A) (Adm2). 
2003-0079-AUS|2003|0079||Natural|Hydrological|Flood|Riverine flood|||Australia|AUS|Australia and New Zealand|Oceania|Stanwell, Gracemere, Mount Morgan villages (Rockhampton district, Queensland province), Wowan, Baralaba, Moura villages (Banana district, Queensland province), Agnes Water, Makowata villages (Gladstone district, Queensland province), Blackall Tambo district (Queensland province)|Cyclone Beni, heavy rains|||||Yes||36500|Km2|||||2003|2|5|2003|2|12|1||20||20|||||2000|3182|62,8584595000413|2||154651;154653;154666;154688|Banana (S), Blackall Tambo (R), Gladstone (R), Rockhampton (R) (Adm2). 
2003-0030-AUS|2003|0030||Natural|Climatological|Wildfire|Forest fire|||Australia|AUS|Australia and New Zealand|Oceania|Canberra region (Unincorporated ACT district, Australian Capital Territory province)|High temperature, high winds|||Yes||||30000|Km2|||||2003|1|8|2003|2|18|4|150|2500||2650|||264000|419991|300000|477263|62,8584595000413|2||4940|Unincorporated ACT (Adm2). 
2003-0066-AUS|2003|0066||Natural|Meteorological|Storm||||Australia|AUS|Australia and New Zealand|Oceania|New South Wales province||||||||100|Kph|||||2003|1|9|2003|1|9|1|||||||||||62,8584595000413|1|470||New South Wales (Adm1). 
2001-0659-COK|2001|0659||Natural|Meteorological|Storm|Tropical cyclone||Trina|Cook Islands (the)|COK|Polynesia|Oceania|Rarotonga, Avarua, Mangaia islands|||||||24|130|Kph|||||2001|12|2|2001|12|2|||744||744|||||||60,5035788853056|1|980||Administrative unit not available (Adm1). 
2001-0223-FJI|2001|0223||Natural|Meteorological|Storm|Tropical cyclone||Paula|Fiji|FJI|Melanesia|Oceania|Western, Central, Eastern provinces||||||||220|Kph|||||2001|3|1|2001|3|1|1|||||||||||60,5035788853056|1|40187;40188;40190||Central, Eastern, Western (Adm1). 
2002-0126-FSM|2002|0126||Natural|Meteorological|Storm|Tropical cyclone||Mitag|Micronesia (Federated States of)|FSM|Micronesia|Oceania|Yap Island (Micronesia province)||Surge||||Yes||212|Kph|||||2002|3|3|2002|3|3||||175|175|||||||61,4631882611914|1|2060||Administrative unit not available (Adm1). 
2002-0397-FSM|2002|0397||Natural|Meteorological|Storm|Tropical cyclone||'Chata''an'|Micronesia (Federated States of)|FSM|Micronesia|Oceania|Weno, Tonoas, Fefan, Udot, Uman, Siis villages (Chuuk island, Micronesia province)|||||||138|112|Kph|||||2002|7|1|2002|7|1|47|148|1300||1448|||||500|813|61,4631882611914|1|2060||Administrative unit not available (Adm1). 
2002-0432-GUM|2002|0432||Natural|Meteorological|Storm|Tropical cyclone||'Chata''an'|Guam|GUM|Micronesia|Oceania|Guam province||||||||177|Kph|||||2002|7|5|2002|7|5|||4044||4044|||||60000|97619|61,4631882611914|1|1359||Administrative unit not available (Adm1). 
2002-0753-GUM|2002|0753||Natural|Meteorological|Storm|Tropical cyclone||Pongsona|Guam|GUM|Micronesia|Oceania|Guam province||||||||180|Kph|||||2002|12|8|2002|12|8|1||6000|5100|11100|||||70000|113889|61,4631882611914|1|1359||Administrative unit not available (Adm1). 
2003-0024-FJI|2003|0024||Natural|Meteorological|Storm|Tropical cyclone||Ami|Fiji|FJI|Melanesia|Oceania|Northern, Eastern, Western provinces ||Surge|Slide (land, mud, snow, rock)|Yes|Yes|Yes|2254|150|Kph|||||2003|1|14|2003|1|14|17||30000||30000|||||30000|47726|62,8584595000413|1|40188;40189;40190||Eastern, Northern, Western (Adm1). 
2001-0345-PNG|2001|0345||Natural|Geophysical|Earthquake|Ground movement|||Papua New Guinea|PNG|Melanesia|Oceania|Mumeng district (Morobe province)||Slide (land, mud, snow, rock)||||||6|Richter|-6.884|146.388|||2001|6|5|2001|6|5||1||200|201|||||||60,5035788853056|2||37525|Mumeng (Adm2). 
2001-0779-NZL|2001|0779||Natural|Meteorological|Extreme temperature |Heat wave|||New Zealand|NZL|Australia and New Zealand|Oceania|Canterbury, Nelson-marlborough, Otago, Southland, Westland provinces||Drought|||||||°C|||||2001|1||2001|4|||||||||||200000|330559|60,5035788853056|1|2173;2176;2178;2179;2184||Canterbury, Nelson-marlborough, Otago, Southland, Westland (Adm1). 
2001-0531-PNG|2001|0531||Natural|Biological|Epidemic|Viral disease|||Papua New Guinea|PNG|Melanesia|Oceania|Dogura, Salamo, Daio, Hagita, Samarai, Alotau, Waterluma, Gamadodo (Milne Bay province)||||||||6000|Vaccinated|||||2001|11|1|2001|11|1|||1395||1395|||||||60,5035788853056||||
2001-0711-TON|2001|0711||Natural|Meteorological|Storm|Tropical cyclone||Waka|Tonga|TON|Polynesia|Oceania|'Vava''u, Niuafo''ou islands (Tonga province)'||||Yes|||868|260|Kph|||||2001|12|31|2001|12|31|||16500||16500|||||51300|84788|60,5035788853056|1|2976||Administrative unit not available (Adm1). 
2001-0254-VUT|2001|0254||Natural|Geophysical|Volcanic activity|Ash fall||Lopevi|Vanuatu|VUT|Melanesia|Oceania|Paama island (Malampa province)||||||||||-16.507|168.346|15:00||2001|6|8|2001|6|8|||4500||4500|||||||60,5035788853056|2||31850|Administrative unit not available (Adm2). 
2001-0143-VUT|2001|0143||Natural|Meteorological|Storm|Tropical cyclone||Sose|Vanuatu|VUT|Melanesia|Oceania|Santo island (Sanma province), Malekula island (Malampa province), Ambae island (Penama province), Shepherd, Efate island (Shefa province), Erromango, Tanna, Anatom island (Tafea province),||||||||100|Kph|||||2001|4|7|2001|4|7|1||505|295|800|||||||60,5035788853056|1|3296;3297;3298;3299;3300||Malampa, Penama, Sanma, Shefa, Tafea (Adm1). 
2001-0274-WSM|2001|0274||Natural|Hydrological|Flood|Flash flood|||Samoa|WSM|Polynesia|Oceania|Lepea, Moatta, Falifa, Siumu areas|||||||||Km2|||||2001|4|15|2001|4|15||||||||||1500|2479|60,5035788853056|1|2618||Administrative unit not available (Adm1). 
2002-0002-VUT|2002|0002||Natural|Geophysical|Earthquake|Ground movement|||Vanuatu|VUT|Melanesia|Oceania|Port Vila city (Shefa province)||Slide (land, mud, snow, rock)||||||7|Richter|-17.6|167.856|04:22||2002|1|3|2002|1|3|||500||500|||||||61,4631882611914|2||31853|Administrative unit not available (Adm2). 
2002-0770-VUT|2002|0770||Natural|Geophysical|Earthquake|Ground movement|||Vanuatu|VUT|Melanesia|Oceania|Merelava island (Torba province)||Slide (land, mud, snow, rock)||||||6|Richter|-14.49|167.827|3:43||2002|11|27|2002|11|27||3|500||503|||||||61,4631882611914|2||31855|Administrative unit not available (Adm2). 
2002-0577-PNG|2002|0577||Natural|Geophysical|Earthquake|Ground movement|||Papua New Guinea|PNG|Melanesia|Oceania|Wewak district (East Sepik province)||Tsunami/Tidal wave|||||53|8|Richter|-3.302|142.945|4:44||2002|9|8|2002|9|8|4|70|4400||4470|||||||61,4631882611914|2||37488|Wewak (Adm2). 
2002-0811-SLB|2002|0811||Natural|Meteorological|Storm|Tropical cyclone||Zoe|Solomon Islands|SLB|Melanesia|Oceania|Tikopia, Fataka, Anuta islands (Temotu area, Solomon Islands province)||Surge||Yes||Yes|584|340|Kph|||||2002|12|28|2002|12|29||10||1100|1110|||||||61,4631882611914|1|2687||Administrative unit not available (Adm1). 
2002-0036-NZL|2002|0036||Natural|Hydrological|Flood|Riverine flood|||New Zealand|NZL|Australia and New Zealand|Oceania|Canterbury province|Heavy rains|||||||8030|Km2||||Ciliwung|2002|1|12|2002|1|15|||300||300|||||500|813|61,4631882611914|1|2173||Canterbury (Adm1). 
2002-0858-NZL|2002|0858||Natural|Biological|Epidemic|Viral disease||Acute respiratory syndrome (SARS)|New Zealand|NZL|Australia and New Zealand|Oceania||||||No|No|||Vaccinated|||||2003|4|20|2003|4|20|||1||1|||||||61,4631882611914||||
2002-0070-PNG|2002|0070||Natural|Geophysical|Earthquake|Ground movement|||Papua New Guinea|PNG|Melanesia|Oceania|Aitape district (West Sepik province)||||||||7|Richter|-3.212|142.427|||2002|1|10|2002|1|10|1|||1000|1000|||||||61,4631882611914|2||37557|Aitape (Adm2). 
2002-0492-PNG|2002|0492||Natural|Geophysical|Volcanic activity|Ash fall||Mt Pago|Papua New Guinea|PNG|Melanesia|Oceania|Kimbe district (West New Britain province)|||||||1180|||||||2002|7|2|2002|7|2|||13000||13000|||||||61,4631882611914|2||37556|Kimbe (Adm2). 
2002-0190-PNG|2002|0190||Natural|Hydrological|Landslide|Landslide|||Papua New Guinea|PNG|Melanesia|Oceania|Wantoat village (Markham area, Kaiapit district, Morobe province)||||||||||||||2002|4|2|2002|4|2|36|11|163||174|||||||61,4631882611914|2||37522|Kaiapit (Adm2). 
2002-0303-PNG|2002|0303||Natural|Biological|Epidemic|Viral disease|||Papua New Guinea|PNG|Melanesia|Oceania|Western Highlands|||||||||Vaccinated|||||2002|1|1|2002|1|1|122||2215||2215|||||||61,4631882611914||||
2002-0815-PNG|2002|0815||Natural|Biological|Epidemic|Viral disease|||Papua New Guinea|PNG|Melanesia|Oceania|Hengonofi area|||||||||Vaccinated|||||2002|12|24|2002|12|24|20|||||||||||61,4631882611914||||
2002-0829-VUT|2002|0829||Natural|Hydrological|Flood|Riverine flood|||Vanuatu|VUT|Melanesia|Oceania|Tafea province|Heavy rain||||||26|146|Km2|||||2002|12|21|2002|12|25||1|3000||3001|||||||61,4631882611914|1|3300||Tafea (Adm1). 
2002-0826-MNP|2002|0826||Natural|Meteorological|Storm|Tropical cyclone||Pongsona|Northern Mariana Islands (the)|MNP|Micronesia|Oceania|Saipan, Rota islands (Northern Mariana Islands province)|||||||||Kph|||||2002|12|8|2002|12|8||||300|300|||||||61,4631882611914|1|2243||Administrative unit not available (Adm1). 
2003-0287-ASM|2003|0287||Natural|Hydrological|Flood|Flash flood|||American Samoa|ASM|Polynesia|Oceania|Pago pago, Fagatogo areas (Administrative unit not available province)|Heavy rains|Slide (land, mud, snow, rock)||||Yes||174|Km2|||||2003|5|18|2003|5|19|6|3|||3|||||50000|79544|62,8584595000413|1|389||Administrative unit not available (Adm1). 
2003-0560-AUS|2003|0560||Natural|Meteorological|Storm|Convective storm|Hail|Hailstorm|Australia|AUS|Australia and New Zealand|Oceania|Sydney district (New South Wales province)||Flood|||||||Kph|||||2003|10|24|2003|10|24|||1500||1500|||||||62,8584595000413|2||154637|Sydney (C) (Adm2). 
2003-0615-AUS|2003|0615||Natural|Meteorological|Storm|Convective storm|Lightning/Thunderstorms||Australia|AUS|Australia and New Zealand|Oceania|Melbourne district (Victoria province)||Flood|||||||Kph|||||2003|12|3|2003|12|3||||||||75000|119316|93000|147951|62,8584595000413|2||5396|Melbourne (C) (Adm2). 
2003-0135-NCL|2003|0135||Natural|Meteorological|Storm|Tropical cyclone||Erica|New Caledonia|NCL|Melanesia|Oceania|Noumea, Bourail areas (South region), Kone area (North region)|||||||300|200|Kph|||||2003|3|13|2003|3|13|2|100||1000|1100|||||40000|63635|62,8584595000413|1|2170||Administrative unit not available (Adm1). 
2003-0145-NCL|2003|0145||Natural|Biological|Epidemic|Viral disease||Dengue|New Caledonia|NCL|Melanesia|Oceania||||||No|No|||Vaccinated|||||2003|3||2003|3||||437||437|||||||62,8584595000413||||
2003-0057-SLB|2003|0057||Natural|Meteorological|Storm|Tropical cyclone||Beni|Solomon Islands|SLB|Melanesia|Oceania|Rennell, Bellona islands (Solomon Islands province)||||||||110|Kph|||||2003|1|26|2003|1|28|||275||275|||||||62,8584595000413|1|2687||Administrative unit not available (Adm1). 
2003-0616-AUS|2003|0616||Natural|Meteorological|Storm|Convective storm|Hail||Australia|AUS|Australia and New Zealand|Oceania|Gladstone district (Queensland province)|||||||||Kph|||||2003|12|9|2003|12|9|||300||300|||||||62,8584595000413|2||154666|Gladstone (R) (Adm2). 
2003-0288-AUS|2003|0288||Natural|Meteorological|Storm|Convective storm|Tornado||Australia|AUS|Australia and New Zealand|Oceania|Greater Bendigo district (Victoria province)||||||||130|Kph|||||2003|5|18|2003|5|18|||240|30|270|||||||62,8584595000413|2||5378|Greater Bendigo (C) (Adm2). 
2003-0292-AUS|2003|0292||Natural|Hydrological|Flood|Flash flood|||Australia|AUS|Australia and New Zealand|Oceania|Gosford, Wyong, Wollongong districts (New South Wales province)|Brief torrential rains|||||Yes||5265|Km2||||Worona, Cooks|2003|5|13|2003|5|18|||300||300|||||||62,8584595000413|2||5004;5113;5115|Gosford (C), Wollongong (C), Wyong (A) (Adm2). 
2003-0587-AUS|2003|0587||Natural|Hydrological|Flood|Flash flood|||Australia|AUS|Australia and New Zealand|Oceania|Darebin, Manningham districts (Victoria province)|Heavy rains||||||||Km2|||||2003|12|2|2003|12|2|||50||50|||||75000|119316|62,8584595000413|2||5370;5393|Darebin (C), Manningham (C) (Adm2). 
2004-0674-AUS|2004|0674||Natural|Meteorological|Storm||||Australia|AUS|Australia and New Zealand|Oceania|Victoria, Queensland provinces||Hail|Rain||||||Kph|||||2004|1|24|2004|1|31|1|||||||30000|46482|50000|77470|64,5413292817447|1|473;476||Queensland, Victoria (Adm1). 
2004-0589-AUS|2004|0589||Natural|Meteorological|Storm||||Australia|AUS|Australia and New Zealand|Oceania|Brisbane district (Queensland province)||Hail|Flood||||||Kph|||||2004|11|7|2004|11|7|2||45||45|||||10000|15494|64,5413292817447|2||154654|Brisbane (C) (Adm2). 
2004-0004-ASM|2004|0004||Natural|Meteorological|Storm|Tropical cyclone||Heta|American Samoa|ASM|Polynesia|Oceania|American Samoa||||||Yes||310|Kph|||||2004|1|5|2004|1|5||60|20000|3000|23060|||||150000|232409|64,5413292817447|1|389||Administrative unit not available (Adm1). 
2004-0091-AUS|2004|0091||Natural|Hydrological|Flood|Riverine flood|||Australia|AUS|Australia and New Zealand|Oceania|Mount Isa, Longreach, Rockhampton, Townsville, Barcoo, Diamantina, Paroo districts (Queensland province), Tamworth Regional, Moree Plains districts (New South Wales province)|Monsoonal rain|||||||1232000|Km2||||Leichhardt, Gilliat, Flinders, Thomson, Cooper, Barcoo, Balonne, Weir, Bulloo, Nicholson, Gregory, Gilliat Channels, Barwon, Paroo, Peel, Mehi, Gwydir, Tully, Herbert, Barron|2004|1|14|2004|2|25|||3400||3400|||||32000|49581|64,5413292817447|2||5047;5136;5172;5216;5225;154638;154678;154688;154698|Barcoo (S), Diamantina (S), Longreach (R), Moree Plains (A), Mount Isa (C), Paroo (S), Rockhampton (R), Tamworth Regional (A), Townsville (C) (Adm2). 
2004-0537-AUS|2004|0537||Natural|Hydrological|Flood|Riverine flood|||Australia|AUS|Australia and New Zealand|Oceania|Repton, Urunga villages (Bellingen district, New South Wales province), Coffs Harbour district (New South Wales province)|Heavy rain|||||Yes||1820|Km2||||Bellingen river|2004|10|19|2004|10|22|||100||100|||||5500|8522|64,5413292817447|2||4953;154620|Bellingen (A), Coffs Harbour (C) (Adm2). 
2004-0662-AUS|2004|0662||Natural|Hydrological|Flood|Riverine flood|||Australia|AUS|Australia and New Zealand|Oceania|Eidsvold village (North Burnett district, Queensland province), Wee Waa village (Narrabri district, New South Wales province), Weemelah, Mungindi villages (Moree Plains district, New South Wales province), Mullumbimby, Billinudgel villages (Byron district, New South Wales province), Orange New South Wales |Heavy rain|||||||80550|Km2||||Tributaries of Darling river|2004|12|8|2004|12|22|3||120||120|||||15000|23241|64,5413292817447|2||4968;5047;5056;5064;154684|Byron (A), Moree Plains (A), Narrabri (A), North Burnett (R), Orange (C) (Adm2). 
2004-0432-AUS|2004|0432||Natural|Biological|Insect infestation|Locust|||Australia|AUS|Australia and New Zealand|Oceania|NSW|||||No|No||||||||2004|8||2004|8|||||||||||||64,5413292817447||||
2004-0574-AUS|2004|0574||Technological|Technological|Transport accident|Rail|||Australia|AUS|Australia and New Zealand|Oceania|Near Bundaberg (Queensland state)|||||No|No||||||||2004|11|16|2004|11|16||120|||120|||||||64,5413292817447||||
2004-0400-AUS|2004|0400||Natural|Meteorological|Storm||||Australia|AUS|Australia and New Zealand|Oceania|Victoria, New South Wales provinces|||||||||Kph|||||2004|7|17|2004|7|18|||600||600|||||||64,5413292817447|1|470;476||New South Wales, Victoria (Adm1). 
2005-0151-ASM|2005|0151||Natural|Meteorological|Storm|Tropical cyclone||Olaf|American Samoa|ASM|Polynesia|Oceania|'Manu''a island'|||||||||Kph|||||2005|2|16|2005|2|16||||||||||||66,7310579862028|1|389||Administrative unit not available (Adm1). 
2005-0014-AUS|2005|0014||Natural|Climatological|Wildfire|Forest fire|||Australia|AUS|Australia and New Zealand|Oceania|Eyre peninsula (Ceduna (DC), Cleve (DC), Elliston (DC), Franklin Harbour (DC), Kimba (DC), Lower Eyre Peninsula (DC), Port Augusta (C), Port Lincoln (C), Streaky Bay (DC), Tumby Bay (DC), Whyalla (C), Wudinna (DC) districts, South Australia province)|High temperature, violent winds|||||||1000|Km2|||||2005|1|4|2005|1|26|12|20|200||220|||20000|29971|40000|59942|66,7310579862028|2||5264;5267;5270;5272;5279;5281;5283;5301;5302;5310;5314;5322|Ceduna (DC), Cleve (DC), Elliston (DC), Franklin Harbour (DC), Kimba (DC), Lower Eyre Peninsula (DC), Port Augusta (C), Port Lincoln (C), Streaky Bay (DC), Tumby Bay (DC), Whyalla (C), Wudinna (DC) (Adm2). 
2005-0241-AUS|2005|0241||Technological|Technological|Transport accident|Air||Bi-moteur Fairchild Metroliner|Australia|AUS|Australia and New Zealand|Oceania|Lockhart river|||||No|No||||||||2005|5|7|2005|5|7|15|||||||||||66,7310579862028||||
2005-0068-AUS|2005|0068||Natural|Meteorological|Storm||||Australia|AUS|Australia and New Zealand|Oceania|Narrabri, Jerilderie, Wagga Wagga, Griffith, Bega Valley, Eurobodalla, Shoalhaven, Campbelltown districts (New South Wales province)||||||||124|Kph|||||2005|1|21|2005|1|21|||600||600|||||27000|40461|66,7310579862028|2||4952;4971;4997;5010;5026;5056;5081;5099|Bega Valley (A), Campbelltown (C), Eurobodalla (A), Griffith (C), Jerilderie (A), Narrabri (A), Shoalhaven (C), Wagga Wagga (C) (Adm2). 
2003-0577-FSM|2003|0577||Natural|Meteorological|Storm|Tropical cyclone||Lupit|Micronesia (Federated States of)|FSM|Micronesia|Oceania|Ulithi Atoll, Woleai Atoll, Fais Island, Rumung Island, Yap Island areas (Micronesia province)|||||Yes|Yes|10|240|Kph|||||2003|11|21|2003|11|25||||1000|1000|||||||62,8584595000413|1|2060||Administrative unit not available (Adm1). 
2004-0153-FJI|2004|0153||Natural|Meteorological|Storm|Tropical cyclone|||Fiji|FJI|Melanesia|Oceania|Central, Western, Northern provinces||Flood|Slide (land, mud, snow, rock)|||||90|Kph|||||2004|4|8|2004|4|8|16||5000||5000|||||4000|6198|64,5413292817447|1|40187;40189;40190||Central, Northern, Western (Adm1). 
2004-0312-GUM|2004|0312||Natural|Meteorological|Storm|Tropical cyclone||Tingting|Guam|GUM|Micronesia|Oceania|Agat, Merizo, Barrigada, Mangilao areas (Guam province)||Flood|Slide (land, mud, snow, rock)|||Yes||137|Kph|||||2004|6|27|2004|6|28|1||300||300|||||||64,5413292817447|1|1359||Administrative unit not available (Adm1). 
2004-0294-FJI|2004|0294||Natural|Hydrological|Flood|Flash flood|||Fiji|FJI|Melanesia|Oceania|Central, Western provinces|Torrential rains|Slide (land, mud, snow, rock)|||||||Km2|||||2004|6|5|2004|6|5|||600||600|||||||64,5413292817447|1|40187;40190||Central, Western (Adm1). 
2004-0150-FSM|2004|0150||Natural|Meteorological|Storm|Tropical cyclone||Cosme (Sudal/03W)|Micronesia (Federated States of)|FSM|Micronesia|Oceania|Yap area (Micronesia province)||Surge||||Yes|7494|240|Kph|||||2004|4|3|2004|4|18|1|8|6000||6008|||||||64,5413292817447|1|2060||Administrative unit not available (Adm1). 
2004-0445-GUM|2004|0445||Natural|Meteorological|Storm|Tropical cyclone||Chaba|Guam|GUM|Micronesia|Oceania|Guam province|||||||||Kph|||||2004|8|30|2004|9|1||||||||||1000|1549|64,5413292817447|1|1359||Administrative unit not available (Adm1). 
2005-0102-COK|2005|0102||Natural|Meteorological|Storm|Tropical cyclone||Percy|Cook Islands (the)|COK|Polynesia|Oceania|Pukapuka, Nassau islands||||||Yes||249|Kph|||||2005|2|28|2005|2|28||8|600||608|||||||66,7310579862028|1|980||Administrative unit not available (Adm1). 
2003-0490-NZL|2003|0490||Natural|Meteorological|Storm||||New Zealand|NZL|Australia and New Zealand|Oceania|Kapiti Coast District area (Wellington province)||Slide (land, mud, snow, rock)|Flood|||Yes|||Kph|||||2003|10|3|2003|10|3|2|||||||||3000|4773|62,8584595000413|1|2183||Wellington (Adm1). 
2003-0314-SLB|2003|0314||Natural|Meteorological|Storm|Tropical cyclone||Gina|Solomon Islands|SLB|Melanesia|Oceania|Faea, Ravenga areas (Tikopia island, Solomon Islands province)||Slide (land, mud, snow, rock)||||||111|Kph|||||2003|6|5|2003|6|5||||150|150|||||||62,8584595000413|1|2687||Administrative unit not available (Adm1). 
2003-0230-NZL|2003|0230||Technological|Technological|Transport accident|Water||Vessel "Lih Fa"|New Zealand|NZL|Australia and New Zealand|Oceania|Tasman sea|||||No|No||||||||2003|4|16|2003|4|16|18|||||||||||62,8584595000413||||
2003-0208-PNG|2003|0208||Natural|Hydrological|Landslide|Landslide|||Papua New Guinea|PNG|Melanesia|Oceania|Southern Highlands province|Heavy rains|||||||||||||2003|5|3|2003|5|3|13|21|||21|||||||62,8584595000413|1|2305||Southern Highlands (Adm1). 
2003-0386-PNG|2003|0386||Natural|Hydrological|Landslide|Landslide|||Papua New Guinea|PNG|Melanesia|Oceania|Namatanai, Konos districts (New Ireland province)|Torrential rains|||||||||||||2003|8|1|2003|8|1|||600||600|||||||62,8584595000413|2||37530;37533|Konos, Namatanai (Adm2). 
2003-0224-MNP|2003|0224||Natural|Geophysical|Volcanic activity|Ash fall||Mt Anatahan|Northern Mariana Islands (the)|MNP|Micronesia|Oceania|Anatahan island (Administrative unit not available province)||||||Yes||||||||2003|5|10|2003|5|10||||||||||||62,8584595000413|1|2243||Administrative unit not available (Adm1). 
2004-0080-VUT|2004|0080||Natural|Meteorological|Storm|Tropical cyclone||Ivy (P13)|Vanuatu|VUT|Melanesia|Oceania|Malekula, Ambrym, Paama islands (Malampa province), Epi, Shepard islands (Shefa province), Ambae, Maevo islands (Penama province), Erromango, Tanna islands (Tafea province)||Rain|Slide (land, mud, snow, rock)|Yes|||123|190|Kph|||||2004|2|25|2004|2|27|2|8|54000||54008|||||||64,5413292817447|1|3296;3297;3299;3300||Malampa, Penama, Shefa, Tafea (Adm1). 
2004-0004-WSM|2004|0004||Natural|Meteorological|Storm|Tropical cyclone||Heta|Samoa|WSM|Polynesia|Oceania|Savaii, Upolu islands (Samoa province)||Flood|Surge|||Yes||310|Kph|||||2004|1|5|2004|1|5|1|||||||||||64,5413292817447|1|2618||Administrative unit not available (Adm1). 
2004-0404-NZL|2004|0404||Natural|Hydrological|Flood|Flash flood|||New Zealand|NZL|Australia and New Zealand|Oceania|Bay of Plenty province|Torrential rain|Slide (land, mud, snow, rock)||||Yes|||Km2|||||2004|7|18|2004|7|18|2||2850||2850|||||45000|69723|64,5413292817447|1|2172||Bay Of Plenty (Adm1). 
2004-0104-PNG|2004|0104||Natural|Hydrological|Flood|Riverine flood|||Papua New Guinea|PNG|Melanesia|Oceania|Western Highlands, Chimbu provinces|Heavy rains|Slide (land, mud, snow, rock)||||||2000|Km2||||Waghi, Komon, Minj, Tuman, Kane, Boko|2004|3|5|2004|3|9|||10000||10000|||||||64,5413292817447|1|2291;2309||Chimbu, Western Highlands (Adm1). 
2004-0004-NIU|2004|0004||Natural|Meteorological|Storm|Tropical cyclone||Heta|Niue|NIU|Polynesia|Oceania|Alofi area (Niue province)||||||||300|Kph|||||2004|1|6|2004|1|6|1|2|200|500|702|||||40000|61976|64,5413292817447|1|2241||Administrative unit not available (Adm1). 
