Source:|EM-DAT, CRED / UCLouvain, Brussels, Belgium||||||||||||||||||||||||||||||||||||||||||||||||
|www.emdat.be||||||||||||||||||||||||||||||||||||||||||||||||
Version:|2023-02-11||||||||||||||||||||||||||||||||||||||||||||||||
File creation:|Sat, 11 Feb 2023 21:46:46 CET||||||||||||||||||||||||||||||||||||||||||||||||
Table type:|Custom request||||||||||||||||||||||||||||||||||||||||||||||||
# of records:|522||||||||||||||||||||||||||||||||||||||||||||||||
Dis No|Year|Seq|Glide|Disaster Group|Disaster Subgroup|Disaster Type|Disaster Subtype|Disaster Subsubtype|Event Name|Country|ISO|Region|Continent|Location|Origin|Associated Dis|Associated Dis2|OFDA Response|Appeal|Declaration|'AID Contribution (''000 US$)'|Dis Mag Value|Dis Mag Scale|Latitude|Longitude|Local Time|River Basin|Start Year|Start Month|Start Day|End Year|End Month|End Day|Total Deaths|No Injured|No Affected|No Homeless|Total Affected|'Reconstruction Costs (''000 US$)'|'Reconstruction Costs, Adjusted (''000 US$)'|'Insured Damages (''000 US$)'|'Insured Damages, Adjusted (''000 US$)'|'Total Damages (''000 US$)'|'Total Damages, Adjusted (''000 US$)'|CPI|Adm Level|Admin1 Code|Admin2 Code|Geo Locations
1990-0186-VUT|1990|0186||Natural|Geophysical|Earthquake|Ground movement|||Vanuatu|VUT|Melanesia|Oceania||||||No|No||7|Richter|15.465 S|166.385 E|||1990|2|19|1990|2|19||||||||||||44,6458774383636||||
1990-0190-VUT|1990|0190||Natural|Geophysical|Earthquake|Ground movement|||Vanuatu|VUT|Melanesia|Oceania|Port Vila|||||No|No||7|Richter|18.318 S|168.063 E|||1990|3|5|1990|3|5||||||||||||44,6458774383636||||
1990-0227-VUT|1990|0227||Natural|Geophysical|Earthquake|Ground movement|||Vanuatu|VUT|Melanesia|Oceania|Espiritu Santo|||||No|No||7|Richter|15.319 S|167.396 E|||1990|7|27|1990|7|27||2|||2|||||||44,6458774383636||||
1990-0003-WSM|1990|0003||Natural|Meteorological|Storm|Tropical cyclone||Ofa|Samoa|WSM|Polynesia|Oceania|Upolu, Sawali||||Yes|No|No|||Kph|||||1990|2|1|1990|2|4|8||170000|25000|195000|||||200000|447970|44,6458774383636||||
1991-0623-SLB|1991|0623||Technological|Technological|Transport accident|Water||Boat "Simbang"|Solomon Islands|SLB|Melanesia|Oceania|Near Sialum||||||||||||||1991|9|4|1991|9|4|33||24||24|||||||46,5366206057622||||
1991-0364-WSM|1991|0364||Natural|Meteorological|Storm|Tropical cyclone||Val & Wasa|Samoa|WSM|Polynesia|Oceania|Savaii isl.||||Yes||||167|Kph|||||1991|12|7|1991|12|7|13||85000|3000|88000|||||278000|597379|46,5366206057622||||
1992-0506-SLB|1992|0506||Natural|Meteorological|Storm||||Solomon Islands|SLB|Melanesia|Oceania|Tikopia|||||||||Kph|||||1992|||1992||||||||||||||47,9461296367986||||
1992-0001-VUT|1992|0001||Natural|Meteorological|Storm|Tropical cyclone||Betsy|Vanuatu|VUT|Melanesia|Oceania|Efate, Ambrym, Pentecost, Mataso, Epi, Vila, Malekula||||Yes|||46|222|Kph|||||1992|1|9|1992|1|9|2|10|||10|||||||47,9461296367986||||
1992-0050-VUT|1992|0050||Natural|Meteorological|Storm|Tropical cyclone||Fran|Vanuatu|VUT|Melanesia|Oceania|Efate, Port Vila||||||||222|Kph|||||1992|3|9|1992|3|9|||1150||1150|||||||47,9461296367986||||
1993-0007-SLB|1993|0007||Natural|Meteorological|Storm|Tropical cyclone||Nina|Solomon Islands|SLB|Melanesia|Oceania|Rennell, Bellona, Temotu, Makira, Malaita, Guadacanal||||Yes|||232|130|Kph|||||1993|1|4|1993|1|4|4||88500||88500|||||||49,3613321649381||||
1993-0006-TUV|1993|0006||Natural|Meteorological|Storm|Tropical cyclone||Nina|Tuvalu|TUV|Polynesia|Oceania|Nanumea, Nanumaga, Niutao, Nui, Vaitupu|||||||10|130|Kph|||||1993|1|3|1993|1|3||||150|150|||||||49,3613321649381||||
1993-0024-VUT|1993|0024||Natural|Meteorological|Storm|Tropical cyclone||Prema|Vanuatu|VUT|Melanesia|Oceania|Sherperd Isl., Southern Epi, Northern Efate||||Yes|||2949|250|Kph|||||1993|3|30|1993|3|30|4|5|5000|7000|12005|||||6000|12155|49,3613321649381||||
1993-0134-WLF|1993|0134||Natural|Geophysical|Earthquake|Ground movement|||Wallis and Futuna|WLF|Polynesia|Oceania|Futuna Isl.|||||No|No||7|Richter|14.385 S|178.252 W|||1993|3|13|1993|3|13|5|20|||20|||||||49,3613321649381||||
1994-0076-VUT|1994|0076||Natural|Geophysical|Earthquake|Ground movement|||Vanuatu|VUT|Melanesia|Oceania|Malakula Isl.|||||No|Yes||7|Richter|40.49 N|124.10 W|13:30||1994|8|13|1994|8|13||||||||||||50,6484026622566||||
1994-0644-AUS|1994|0644||Natural|Meteorological|Storm|Convective storm|Lightning/Thunderstorms||Australia|AUS|Australia and New Zealand|Oceania|Sydney|||||||||Kph|||||1994|11||1994|11||2|20|120000|70|120090|||||||50,6484026622566||||
1994-0127-AUS|1994|0127||Natural|Meteorological|Storm|Convective storm|Severe storm||Australia|AUS|Australia and New Zealand|Oceania|Narrogin, Albany, Katanning, Geraldton, Dongara, Moora Perth|||||No|No||140|Kph|||||1994|5|25|1994|5|25|2|20|240000|200|240220|||||77600|153213|50,6484026622566||||
1994-0642-AUS|1994|0642||Natural|Geophysical|Earthquake|Ground movement|||Australia|AUS|Australia and New Zealand|Oceania|Cessnock, Hunter Valley|||||No|No||5|Richter|32.956 S|151.228 E|||1994|8|6|1994|8|6||5|5000|20|5025|||||||50,6484026622566||||
1994-0310-AUS|1994|0310||Natural|Meteorological|Storm|Tropical cyclone||Hurricane|Australia|AUS|Australia and New Zealand|Oceania||||||||||Kph|||||1994|1|19|1994|1|19|22|||||||||||50,6484026622566||||
1994-0641-AUS|1994|0641||Natural|Meteorological|Extreme temperature |Heat wave|||Australia|AUS|Australia and New Zealand|Oceania|Townsville|||||||||°C|||||1994|1||1994|1||5|150|100000||100150|||||||50,6484026622566||||
1994-0645-AUS|1994|0645||Natural|Meteorological|Extreme temperature |Heat wave|||Australia|AUS|Australia and New Zealand|Oceania|Southern NSW||||||||44|°C|||||1994|12||1994|12|||34|1000000||1000034|||||||50,6484026622566||||
1994-0210-AUS|1994|0210||Natural|Climatological|Wildfire|Land fire (Brush, Bush, Pasture)|||Australia|AUS|Australia and New Zealand|Oceania|New South Wales & Queenland|||||||||Km2|||||1994|9|20|1994|9|20||41|20000|100|20141|||||||50,6484026622566||||
1994-0643-AUS|1994|0643||Technological|Technological|Transport accident|Road|||Australia|AUS|Australia and New Zealand|Oceania|Brisbane||||||||||||||1994|10||1994|10||12|39|||39|||||||50,6484026622566||||
1994-0745-AUS|1994|0745||Technological|Technological|Industrial accident|Explosion||Coal mine|Australia|AUS|Australia and New Zealand|Oceania|Moura (Central Queensland)|||||||||m3|||||1994|8|7|1994|8|7|11|||||||||||50,6484026622566||||
1994-0555-AUS|1994|0555||Natural|Meteorological|Storm||||Australia|AUS|Australia and New Zealand|Oceania|Victoria, South Wales||||||||150|Kph|||||1994|11|7|1994|11|7|1|54|2500000|50|2500104|||||||50,6484026622566||||
1995-0441-AUS|1995|0441||Natural|Meteorological|Storm|Convective storm|Tornado||Australia|AUS|Australia and New Zealand|Oceania|Merimbula, Pambula||||||||150|Kph|||||1995|4||1995|4|||34|4500|120|4654|||||18700|35914|52,0692986874991||||
1995-0440-AUS|1995|0440||Natural|Meteorological|Storm|Tropical cyclone||Bobby|Australia|AUS|Australia and New Zealand|Oceania|Onslow||||||||104|Kph|||||1995|2||1995|2||7|15|7000|30|7045|||||98000|188211|52,0692986874991||||
1995-0443-AUS|1995|0443||Natural|Meteorological|Extreme temperature |Heat wave|||Australia|AUS|Australia and New Zealand|Oceania|Western Sydney|||||||||°C|||||1995|11||1995|11||1|100|500000||500100|||||||52,0692986874991||||
1995-0444-AUS|1995|0444||Natural|Meteorological|Storm||||Australia|AUS|Australia and New Zealand|Oceania|South East & Brisbane, Granite Belt Region||||||||100|Kph|||||1995|12||1995|12||1|15|400000|30|400045|||||84000|161323|52,0692986874991||||
1995-0445-AUS|1995|0445||Natural|Meteorological|Storm||||Australia|AUS|Australia and New Zealand|Oceania|Maitland, Metford, Thornton, Tarree (Hunter Valley & Mid-North Coast)|||||||||Kph|||||1995|12||1995|12|||5|20000|20|20025|||||28000|53774|52,0692986874991||||
1996-0322-AUS|1996|0322||Natural|Meteorological|Storm|Convective storm|Lightning/Thunderstorms||Australia|AUS|Australia and New Zealand|Oceania|Singleton district|||||||||Kph|||||1996|12||1996|12||1|11|15000|600|15611|||||140000|261216|53,5955608540084||||
1996-0272-AUS|1996|0272||Natural|Hydrological|Flood|Flash flood|||Australia|AUS|Australia and New Zealand|Oceania|Coffs Harbour|||||||||Km2|||||1996|11|25|1996|11|25|1|6|2700|400|3106|||||131000|244423|53,5955608540084||||
1996-0320-AUS|1996|0320||Natural|Hydrological|Flood|Riverine flood|||Australia|AUS|Australia and New Zealand|Oceania|Brisbane (South Queensland), Grafton (Northern New South Wales)|Heavy rains||||No|No||330400|Km2|||||1996|5|2|1996|5|9|4|20|10000|100|10120|||||205300|383054|53,5955608540084||||
1996-0318-AUS|1996|0318||Natural|Meteorological|Storm|Tropical cyclone||Olivia|Australia|AUS|Australia and New Zealand|Oceania|||||||||222|Kph|||||1996|4||1996|4|||10|1500|250|1760|||||46700|87134|53,5955608540084||||
1996-0146-AUS|1996|0146||Technological|Technological|Transport accident|Air||Military Helicopter|Australia|AUS|Australia and New Zealand|Oceania|Townsville||||||||||||||1996|6|13|1996|6|13|18|10|50||60|||||||53,5955608540084||||
1996-0319-AUS|1996|0319||Technological|Technological|Miscellaneous accident|Fire||Cottages|Australia|AUS|Australia and New Zealand|Oceania|Melbourne||||||||||||||1996|4||1996|4||9||60|36|96|||||||53,5955608540084||||
1996-0195-AUS|1996|0195||Natural|Meteorological|Storm||||Australia|AUS|Australia and New Zealand|Oceania|Sydney||||||||120|Kph|||||1996|8|31|1996|8|31|6|20|450000|200|450220|||||47000|87694|53,5955608540084||||
1996-0225-AUS|1996|0225||Natural|Hydrological|Landslide||||Australia|AUS|Australia and New Zealand|Oceania|Gracetown||||||||||||||1996|9|27|1996|9|27|9|1|100||101|||||||53,5955608540084||||
1996-0316-AUS|1996|0316||Natural|Meteorological|Storm||||Australia|AUS|Australia and New Zealand|Oceania|Dubbo, Young, Bathurst & Southern Sydney||||||||100|Kph|||||1996|2||1996|2|||21|60000|50|60071|||||9333|17414|53,5955608540084||||
1996-0317-AUS|1996|0317||Natural|Meteorological|Storm||||Australia|AUS|Australia and New Zealand|Oceania|Sydney||||||||100|Kph|||||1996|2||1996|2|||4|70000|10|70014|||||39200|73140|53,5955608540084||||
1996-0321-AUS|1996|0321||Natural|Meteorological|Storm||||Australia|AUS|Australia and New Zealand|Oceania|Armidale|||||No|No||160|Kph|||||1996|9|29|1996|9|29||10|25000|120|25130|||||317300|592027|53,5955608540084||||
1997-0015-AUS|1997|0015||Natural|Hydrological|Flood|Riverine flood|||Australia|AUS|Australia and New Zealand|Oceania|Queensland State|||||||||Km2|||||1997|2|4|1997|2|4|||400||400|||||||54,8484541709928||||
1997-0246-AUS|1997|0246||Natural|Climatological|Wildfire|Land fire (Brush, Bush, Pasture)|||Australia|AUS|Australia and New Zealand|Oceania|North West||||||||1000|Km2|||||1997|10|7|1997|10|7||||||||||||54,8484541709928||||
1997-0285-AUS|1997|0285||Natural|Climatological|Wildfire|Land fire (Brush, Bush, Pasture)|||Australia|AUS|Australia and New Zealand|Oceania| From Tare To Bega, Coonabaraban||||||||2500|Km2|||||1997|11|28|1997|11|28|2|||||||||6700|12215|54,8484541709928||||
1997-0153-AUS|1997|0153||Natural|Hydrological|Landslide||||Australia|AUS|Australia and New Zealand|Oceania|Thredbo||||||||||||||1997|7|31|1997|7|31|19|||||||||||54,8484541709928||||
1998-0011-AUS|1998|0011||Natural|Hydrological|Flood|Coastal flood|||Australia|AUS|Australia and New Zealand|Oceania|Towsville Area|Tropical cyclone||||No|No|||Km2|||||1998|1|1|1998|2|1|2||200||200|||42900|77020|61300|110054|55,6998628053472||||
