country_name,country_code,population_1990,population_1991,population_1992,population_1993,population_1994,population_1995,population_1996,population_1997,population_1998,population_1999,population_2000,population_2001,population_2002,population_2003,population_2004,population_2005,population_2006,population_2007,population_2008,population_2009,population_2010,population_2011,population_2012,population_2013,population_2014,population_2015,population_2016,population_2017,population_2018,population_2019,population_2020
MALTA,MLT,606.0,726.0,860.0,1049.0,1296.0,1530.0,1489.0,1608.0,1748.0,1804.0,1799.0,1687.0,1507.0,1238.0,872.0,456.0,183.0,350.0,918.0,1774.0,3049.0,4806.0,6167.0,7348.0,8474.0,9443.0,10239.0,10836.0,11180.0,11247.0,10854.0
MYANMAR,MMR,-40864.0,-79081.0,-80697.0,-83251.0,-71386.0,-75127.0,-65800.0,-58984.0,-62299.0,-81905.0,-106816.0,-131190.0,-150317.0,-165833.0,-169843.0,-185133.0,-186225.0,-185117.0,-180646.0,-158651.0,-116543.0,-82753.0,-61554.0,-62882.0,-74923.0,-94128.0,-87935.0,-105438.0,-114634.0,-100810.0,-66228.0
MONTENEGRO,MNE,-1762.0,-1996.0,-2886.0,-2949.0,-2916.0,-3124.0,-3026.0,-3126.0,-3410.0,-3797.0,-4423.0,-3408.0,-3174.0,-3253.0,-1848.0,-1986.0,-2523.0,-2903.0,-3191.0,-3268.0,-2017.0,0.0,-634.0,-993.0,-1742.0,-1943.0,-2111.0,-1980.0,-2024.0,-1636.0,-1326.0
MONGOLIA,MNG,-11026.0,-10556.0,-9002.0,-7672.0,-8114.0,-8617.0,-8034.0,-8257.0,-8915.0,-8519.0,-10833.0,-9448.0,-8311.0,-7755.0,-8142.0,-8663.0,-10827.0,-11805.0,-11683.0,-9646.0,-8592.0,-1248.0,-2156.0,-1527.0,813.0,3932.0,7470.0,10802.0,11426.0,10664.0,0.0
NORTHERN MARIANA ISLANDS,MNP,-286.0,-1406.0,-1550.0,-1553.0,-1513.0,784.0,6015.0,6329.0,6378.0,6320.0,-1149.0,-3749.0,-3923.0,-4069.0,-4233.0,-4365.0,-4415.0,-4370.0,-4207.0,-3995.0,-3917.0,-918.0,-914.0,-906.0,-884.0,-866.0,-852.0,-830.0,-817.0,-806.0,-431.0
MOZAMBIQUE,MOZ,-97330.0,-95107.0,-110878.0,158569.0,502417.0,72493.0,66949.0,-55158.0,-54854.0,-62292.0,-58468.0,-51429.0,-44909.0,-48338.0,-40129.0,-52323.0,-48812.0,-44273.0,-62180.0,-60999.0,-29343.0,-8820.0,10389.0,22477.0,31611.0,30414.0,77168.0,14804.0,-12765.0,-17639.0,11745.0
MAURITANIA,MRT,-3002.0,-2998.0,34504.0,6215.0,5305.0,-22996.0,-28880.0,-8191.0,-8513.0,-2998.0,-2997.0,-21099.0,-18933.0,-19137.0,-19075.0,-18723.0,-18058.0,-17078.0,-8361.0,-2553.0,3637.0,9340.0,14070.0,-2987.0,-2984.0,-3018.0,-3009.0,-3001.0,-2987.0,-3018.0,-1494.0
MAURITIUS,MUS,-1646.0,-1454.0,-1343.0,-1305.0,-1284.0,-1305.0,-1349.0,-1455.0,-1576.0,-1882.0,-2522.0,-3145.0,-3357.0,-3347.0,-3288.0,-3221.0,-3166.0,-3141.0,-3127.0,-3146.0,-3194.0,-3520.0,-3327.0,-3131.0,-2932.0,-2747.0,-2558.0,-2381.0,-2209.0,-1034.0,-478.0
MALAWI,MWI,71114.0,15292.0,37143.0,-284877.0,-505381.0,-66368.0,-66214.0,-61647.0,-39492.0,-34028.0,-29032.0,-28658.0,-30010.0,-31699.0,-32211.0,-31428.0,-29400.0,-22662.0,-9242.0,-8588.0,-9321.0,-12133.0,-13506.0,-12899.0,-10309.0,-6449.0,-5498.0,-4795.0,-3706.0,-2228.0,-1775.0
MALAYSIA,MYS,94487.0,81545.0,88349.0,88952.0,100207.0,94297.0,102218.0,113370.0,119482.0,124435.0,174011.0,198361.0,224999.0,226003.0,244359.0,245376.0,251101.0,247032.0,217538.0,194571.0,114491.0,115314.0,113421.0,102150.0,94785.0,80603.0,97737.0,78257.0,60604.0,60824.0,57483.0
